Tube number,Sample flow [SCCM],Clearing flow [SLPM],Start date,End date,Start time,End time,Maximum volume [CC]
1,90.0,0.9,,,12:00:00,13:59:59,10000
2,90.0,0.9,,,14:00:00,15:59:59,10000
3,90.0,0.9,,,16:00:00,17:59:59,10000
4,90.0,0.9,,,18:00:00,19:59:59,10000
6,90.0,0.9,,,20:00:00,21:59:59,10000
7,90.0,0.9,,,22:00:00,23:59:59,10000
8,90.0,0.9,,,00:00:00,01:59:59,10000
9,90.0,0.9,,,02:00:00,03:59:59,10000
10,90.0,0.9,,,04:00:00,05:59:59,10000
12,90.0,0.9,,,06:00:00,07:59:59,10000
13,90.0,0.9,,,08:00:00,09:59:59,10000
14,90.0,0.9,,,10:00:00,11:59:59,10000
